datetime_utc, _tempm
6/19/2021 12:10,23.04
6/19/2021 13:10,23.09
6/19/2021 14:10,23.09
6/19/2021 15:10,24.02
6/19/2021 16:10,24.17
6/19/2021 17:10,23.76
6/19/2021 18:10,23.63
6/19/2021 19:10,23.48
6/19/2021 20:11,23.11
6/19/2021 21:10,23.29
6/19/2021 22:10,23.56
6/19/2021 23:10,23.16
6/20/2021 0:10,23.57
6/20/2021 1:10,23.4
6/20/2021 2:10,23.4
6/20/2021 3:10,23.23
6/20/2021 4:10,23.42
6/20/2021 5:10,23.73
6/20/2021 6:11,24.06
6/20/2021 7:11,24.12
6/20/2021 8:10,24.19
6/20/2021 9:10,24.1
6/20/2021 10:10,24.27
6/20/2021 11:10,24.19
6/20/2021 12:10,23.75
6/20/2021 13:10,23.42
6/20/2021 14:10,23.59
6/20/2021 15:10,23.06
6/20/2021 16:10,23.94
6/20/2021 17:11,23.03
6/20/2021 18:10,23.17
6/20/2021 19:10,23.28
6/20/2021 20:10,22.81
6/20/2021 21:10,23.02
6/20/2021 22:10,23.27
6/20/2021 23:10,23.01
6/21/2021 0:10,23.11
6/21/2021 1:10,23.04
6/21/2021 2:10,23.34
6/21/2021 3:10,23.36
6/21/2021 4:10,23.55
6/21/2021 5:10,23.52
6/21/2021 6:10,23.7
6/21/2021 7:10,23.65
6/21/2021 8:10,23.69
6/21/2021 9:10,23.5
6/21/2021 10:10,23.5
6/21/2021 11:10,23.56
6/21/2021 12:10,23.54
6/21/2021 13:10,23.65
6/21/2021 14:10,23.47
6/21/2021 15:10,23.14
6/21/2021 16:10,23.04
6/21/2021 17:10,23.02
6/21/2021 18:10,23.46
6/21/2021 19:10,23.58
6/21/2021 20:10,23.15
6/21/2021 21:10,23.39
6/21/2021 22:10,23.12
6/21/2021 23:10,23.18
6/22/2021 0:10,23.58
6/22/2021 1:10,23.07
6/22/2021 2:10,23.04
6/22/2021 3:10,23.37
6/22/2021 4:11,23.31
6/22/2021 5:10,23.3
6/22/2021 6:10,23.75
6/22/2021 7:10,23.59
6/22/2021 8:10,23.51
6/22/2021 9:10,23.67
6/22/2021 10:10,24.1
6/22/2021 11:10,23.7
6/22/2021 12:11,23.75
6/22/2021 13:10,23.58
6/22/2021 14:10,23.27
6/22/2021 15:10,23.32
6/22/2021 16:10,23.26
6/22/2021 17:10,23.03
6/22/2021 18:10,23.38
6/22/2021 19:11,23.15
6/22/2021 20:10,23.03
6/22/2021 21:10,23.27
6/22/2021 22:10,23.02
6/22/2021 23:10,23.07
6/23/2021 0:10,23.29
6/23/2021 1:10,22.72
6/23/2021 2:10,23.36
6/23/2021 3:10,23.45
6/23/2021 4:10,23.52
6/23/2021 5:10,23.55
6/23/2021 6:10,23.52
